Temperature,XGB_AUC,XGB_Accuracy,dataset,variant
0.1,0.9460342864871566,0.889261744966443,pubmed,gpt-4
0.3,0.9494438827098078,0.8833333333333333,pubmed,gpt-4
0.5,0.9409096502119758,0.8862876254180602,pubmed,gpt-4
0.7,0.957710641229347,0.8933333333333333,pubmed,gpt-4
0.9,0.946677185302059,0.8833333333333333,pubmed,gpt-4
1.1,0.9458960443126504,0.8779264214046822,pubmed,gpt-4
0.1,0.8727872736503639,0.7818791946308725,pubmed,gemini
0.3,0.8909487883198702,0.81,pubmed,gemini
0.5,0.903360037333748,0.8266666666666667,pubmed,gemini
0.7,0.8799764441827131,0.7883333333333333,pubmed,gemini
0.9,0.8900932232580362,0.7966666666666666,pubmed,gemini
1.1,0.8905932288136534,0.8083333333333333,pubmed,gemini
0.1,0.9627198739826726,0.920608108108108,pubmed,turbo_3.5
0.3,0.9567875623782688,0.91864406779661,pubmed,turbo_3.5
0.5,0.9508114391477068,0.889261744966443,pubmed,turbo_3.5
0.7,0.9476573773448774,0.860738255033557,pubmed,turbo_3.5
0.9,0.9526716963521816,0.8983333333333333,pubmed,turbo_3.5
1.1,0.9674523447288348,0.911371237458194,pubmed,turbo_3.5
0.1,0.9712577448175816,0.9209558823529412,writing,gpt-4
0.3,0.9405580294082037,0.8571428571428571,writing,gpt-4
0.5,0.9471973655952466,0.8595505617977528,writing,gpt-4
0.7,0.930870378521127,0.8629629629629629,writing,gpt-4
0.9,0.9348566951752956,0.871841155234657,writing,gpt-4
1.1,0.9532384105960264,0.8913043478260869,writing,gpt-4
0.1,0.9725323837993084,0.9370229007633588,writing,gemini
0.3,0.9628882793387206,0.9061302681992336,writing,gemini
0.5,0.9757253266270012,0.9140625,writing,gemini
0.7,0.9767320456409876,0.9285714285714286,writing,gemini
0.9,0.9733861110321498,0.9171374764595104,writing,gemini
1.1,0.950815090824406,0.8806262230919765,writing,gemini
0.1,0.9864006875901076,0.9460966542750928,writing,turbo_3.5
0.3,0.985918453131568,0.9280575539568344,writing,turbo_3.5
0.5,0.9824481074481076,0.9349442379182156,writing,turbo_3.5
0.7,0.9731148399104312,0.923809523809524,writing,turbo_3.5
0.9,0.9734591365734456,0.9246323529411764,writing,turbo_3.5
1.1,0.9717557909239644,0.9265536723163842,writing,turbo_3.5
0.1,0.999210804343122,0.9911032028469752,xsum,gpt-4
0.3,0.9915723108594956,0.9731182795698924,xsum,gpt-4
0.5,0.9929434833649392,0.96415770609319,xsum,gpt-4
0.7,0.9878195604283008,0.9553571428571428,xsum,gpt-4
0.9,0.9844785957919748,0.9464285714285714,xsum,gpt-4
1.1,0.9843862851439904,0.9492753623188406,xsum,gpt-4
0.1,0.9981971052587238,0.9816326530612244,xsum,gemini
0.3,0.9984945078975256,0.9816326530612244,xsum,gemini
0.5,0.9994729907773388,0.991701244813278,xsum,gemini
0.7,0.9951200952822074,0.9776422764227642,xsum,gemini
0.9,0.9984114766716342,0.9798387096774194,xsum,gemini
1.1,0.9977884392445022,0.9767932489451476,xsum,gemini
0.1,0.9952675184287656,0.9875444839857652,xsum,turbo_3.5
0.3,0.995029132542884,0.989010989010989,xsum,turbo_3.5
0.5,0.9981601731601732,0.9890510948905108,xsum,turbo_3.5
0.7,0.9971159824842238,0.9836363636363636,xsum,turbo_3.5
0.9,0.994977985690699,0.9798534798534798,xsum,turbo_3.5
1.1,0.9931371580922288,0.9756554307116104,xsum,turbo_3.5
